DateTime,Original Tweet,Processed Tweet
2016-11-05 18:26:02+00:00,Which Hillary? ¯\_(ツ)_/¯ Voters simply can’t trust @HillaryClinton http://gop.cm/gPgTUo,"['hillary', '¯', 'ツ', '¯', 'voters', 'simply', '’', 'trust']"
2016-11-05 16:42:36+00:00,More classified emails were discovered to have been deleted from @HillaryClinton’s private server,"['classified', 'email', 'discover', 'delete', '’', 'private', 'server']"
2016-11-05 14:41:02+00:00,Be a voter this year http://gop.cm/xoofFY,"['voter', 'year']"
2016-11-04 23:03:01+00:00,.@HillaryClinton sent Chelsea info now deemed classified http://politi.co/2fnPr7H,"['sent', 'chelsea', 'info', 'deem', 'classified']"
2016-11-04 21:41:03+00:00,.@realDonaldTrump will put an end to the corruption and #MakeAmericaGreatAgain http://gop.cm/zn1BPW,"['put', 'end', 'corruption', 'makeamericagreatagain']"
2016-11-04 17:03:01+00:00,"FBI discovered new emails related to @HillaryClinton’s time as SoS raising ? about whether she lied to FBI, Congress","['fbi', 'discover', 'new', 'email', 'relate', '’', 'time', 'sos', 'raise', 'whether', 'lie', 'fbi', 'congress']"
2016-11-04 15:49:01+00:00,FBI agents looking into @ClintonFdn are contending with an overtly partisan Dept of Justice http://on.wsj.com/2fCtWmP,"['fbi', 'agent', 'look', 'contend', 'overtly', 'partisan', 'dept', 'justice']"
2016-11-04 14:47:03+00:00,Obama-Clinton Economics: Failing America http://gop.cm/YcvvvM,"['obamaclinton', 'economics', 'failing', 'america']"
2016-11-03 23:04:05+00:00,Similarities... ,['similarities']
2016-11-03 20:12:21+00:00,Failure upon failure: @HillaryClinton’s horrible foreign policy http://gop.cm/CooypJ,"['failure', 'upon', 'failure', '’', 'horrible', 'foreign', 'policy']"
2016-11-03 18:31:04+00:00,Add your name to @realDonaldTrump's supporters list LIVE http://gop.cm/QvXiC9,"['add', 'name', 'supporter', 'list', 'live']"
2016-11-03 16:03:50+00:00,"We are committed to a better future for all communities, & all of our Republican candidates are going to lead our nation in a new direction.","['commit', 'good', 'future', 'community', 'republican', 'candidate', 'go', 'lead', 'nation', 'new', 'direction']"
2016-11-03 15:30:57+00:00,FBI “actively & aggressively” investigating @ClintonFdn for public corruption &amp; “collected a great deal of evidence”,"['fbi', '“', 'actively', 'aggressively', '”', 'investigate', 'public', 'corruption', 'amp', '“', 'collect', 'great', 'deal', 'evidence', '”']"
2016-11-03 00:57:01+00:00,We are offering a new direction that gives a voice to all Americans.,"['offer', 'new', 'direction', 'give', 'voice', 'americans']"
2016-11-02 23:41:03+00:00,"In less than one week, we will #MakeAmericaGreatAgain http://gop.cm/byu6hC","['less', 'one', 'week', 'makeamericagreatagain']"
2016-11-02 22:26:01+00:00,New emails show Obama’s State Dept coordinated w/ @HillaryClinton’s camp ahead of report exposing private email use https://yhoo.it/2ff5tRl,"['new', 'email', 'show', 'obama', '’', 'state', 'dept', 'coordinate', 'w', '’', 'camp', 'ahead', 'report', 'expose', 'private', 'email', 'use']"
2016-11-02 20:06:02+00:00,Have you made a plan to vote? Get all info here http://gop.cm/ohnHcK,"['make', 'plan', 'vote', 'get', 'info']"
2016-11-02 18:57:36+00:00,Enough is enough http://gop.cm/jmGoyb,"['enough', 'enough']"
2016-11-02 16:02:01+00:00,Former @TheDemocrats Chair &amp; @HillaryClinton backer @GovEdRendell criticized her campaign for attacking the FBI Dir http://cnn.it/2fvbVab,"['former', 'chair', 'amp', 'backer', 'criticize', 'campaign', 'attack', 'fbi', 'dir']"
2016-11-02 14:57:04+00:00,"Following FBI’s @HillaryClinton email bombshell, “Dems are getting anxious” as the polls tighten across the country http://gop.cm/J1Kz1f","['following', 'fbi', '’', 'email', 'bombshell', '“', 'dems', 'get', 'anxious', '”', 'poll', 'tighten', 'across', 'country']"
2016-11-01 21:54:02+00:00,Even those who once supported @HillaryClinton are fed up with the corruption and lies http://gop.cm/RYnpkb,"['even', 'support', 'feed', 'corruption', 'lie']"
2016-11-01 20:21:02+00:00,"One week from today, we can #MakeAmericaGreatAgain &amp; keep our majorities in the House &amp; Senate. Be a voter http://gop.cm/wsAfdB","['one', 'week', 'today', 'makeamericagreatagain', 'amp', 'keep', 'majority', 'house', 'amp', 'senate', 'voter']"
2016-11-01 17:42:02+00:00,"ObamaCare is hurting Americans across the country, despite promises that it would not http://gop.cm/FVVqZp","['obamacare', 'hurt', 'americans', 'across', 'country', 'despite', 'promise', 'would']"
2016-11-01 16:03:03+00:00,"As open enrollment begins, Barack Obama & @HillaryClinton continue to sell ObamaCare on a mountain of lies http://gop.cm/FVVqZp","['open', 'enrollment', 'begin', 'barack', 'obama', 'continue', 'sell', 'obamacare', 'mountain', 'lie']"
2016-11-01 15:00:21+00:00,Obama White House broke with the Clinton campaign over attacks on FBI Director Comey ,"['obama', 'white', 'house', 'break', 'clinton', 'campaign', 'attack', 'fbi', 'director', 'comey']"
2016-11-01 00:36:04+00:00,Cannot. Be. Trusted http://gop.cm/vugxxQ,"['cannot', 'trusted']"
2016-10-31 21:48:03+00:00,"A horrible Halloween for @HillaryClinton, indeed ","['horrible', 'halloween', 'indeed']"
2016-10-31 20:14:03+00:00,The Foundation of Scandal http://gop.cm/vugxxQ,"['foundation', 'scandal']"
2016-10-31 18:23:03+00:00,"While blaming the FBI, @HillaryClinton's campaign won't deny this is actually Hillary's fault http://gop.cm/ypsBBr","['blame', 'fbi', 'campaign', 'wont', 'deny', 'actually', 'hillarys', 'fault']"
